Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

LinkText, gruppi, 0.300, 0.096, 0.000, 0.048
Name, new, 0.000, 0.131, 0.000, 0.065
Name, group_name, 0.000, 0.117, 0.000, 0.058
Name, group_name, 0.000, 0.117, 0.000, 0.058
Name, group_header, 0.000, 0.117, 0.000, 0.058
Name, group_header, 0.000, 0.117, 0.000, 0.058
Name, group_footer, 0.000, 0.117, 0.000, 0.058
Name, group_footer, 0.000, 0.117, 0.000, 0.058
Name, submit, 0.000, 0.117, 0.000, 0.058
XPath, .//*[@id='content']/div, 0.650, 0.146, 0.857, 0.502
LinkText, group page, 0.300, 0.146, 0.000, 0.073
