Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

LinkText, stampa numeri telefonici, 0.300, 0.090, 0.000, 0.045
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[1], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[2], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[2], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[2], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[3], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[3], 0.775, 0.121, 0.000, 0.060
XPath, .//*[@id='view']/tbody/tr/td[3], 0.775, 0.121, 0.000, 0.060
