Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

Name, group, 0.000, 0.090, 0.000, 0.045
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[3], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.089, 0.000, 0.044
Name, group, 0.000, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[3], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.089, 0.000, 0.044
Name, group, 0.000, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[2], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[3], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.089, 0.000, 0.044
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.089, 0.000, 0.044
