Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

CssSelector, img[alt="Modifica"], 0.400, 0.094, 0.000, 0.047
Name, address, 0.000, 0.039, 0.000, 0.020
Name, address, 0.000, 0.039, 0.000, 0.020
Name, home, 0.000, 0.039, 0.000, 0.020
Name, home, 0.000, 0.039, 0.000, 0.020
Name, email, 0.000, 0.039, 0.000, 0.020
Name, email, 0.000, 0.039, 0.000, 0.020
XPath, .//*[@id='content']/form[1]/input[21], 0.733, 0.039, 0.000, 0.020
XPath, .//*[@id='content']/div, 0.650, 0.144, 0.857, 0.500
