Test Name,8.1.6,Score_8.1.6,8.1.7
AddressBookAddAddressBookTest,passed,24,failed
AddressBookSearchAddressBookNameTest,passed,48,failed
AddressBookSearchAddressBookEmailTest,passed,48,failed
AddressBookAddGroupTest,passed,64,passed
AddressBookAssignToGroupTest,passed,67,failed
AddressBookSearchByGroupTest,passed,46,failed
AddressBookCheckBirthdayInfoTest,passed,64,failed
AddressBookCheckAddressBookTest,passed,63,failed
AddressBookPrintAddressBookTest,passed,64,failed
AddressBookEditAddressBookTest,passed,24,failed
AddressBookEditGroupTest,passed,61,passed
AddressBookRemoveFromGroupTest,passed,59,failed
AddressBookRemoveGroupTest,passed,73,passed
AddressBookRemoveAddressBookTest,passed,52,failed
AddressBookAddMultipleAddressBookTest,passed,24,failed
AddressBookSearchMultipleAddressBookNameTest,passed,46,failed
AddressBookAddMultipleGroupsTest,passed,59,passed
AddressBookAssignToMultipleGroupsTest,passed,55,failed
AddressBookSearchByMultipleGroupsTest,passed,44,failed
AddressBookCheckMultipleBirthdaysInfoTest,passed,57,failed
AddressBookCheckMultipleAddressBookTest,passed,58,failed
AddressBookPrintMultipleAddressBookTest,passed,52,failed
AddressBookEditMultipleAddressBookTest,passed,27,failed
AddressBookEditMultipleGroupsTest,passed,53,passed
AddressBookRemoveFromMultipleGroupsTest,passed,47,failed
AddressBookRemoveMultipleGroupsTest,passed,60,passed
AddressBookRemoveMultipleAddressBookTest,passed,51,failed
